museum_id,name,city,state,country,lat,lng,address,website_url,opening_hours,has_full_content,hero_image_url,tags,hightlight
glyptothek-munich-germany,Glyptothek,Munich,Bayern,Germany,48.146556,11.565815,"Café in der Glyptothek, 3, Königsplatz, Maxvorstadt, München, Bayern, 80333, Deutschland",http://www.antike-am-koenigsplatz.mwn.de/de/glyptothek-muenchen.html,See website,FALSE,https://logo.clearbit.com/antike-am-koenigsplatz.mwn.de?size=512,history,FALSE
museum-of-neandertals-in-krapina-croatia,Museum of Neandertals in Krapina,Krapina,,Croatia,46.164603,15.863616,"Muzej krapinskih neandertalaca, Šetalište Vilibalda Sluge, Galge, Krapina, Grad Krapina, Krapinsko-zagorska županija, 49000, Hrvatska",https://mkn.mhz.hr/,See website,FALSE,https://logo.clearbit.com/mkn.mhz.hr?size=512,history,FALSE
1-karntner-fischereimuseum-seeboden-am-millstatter-see-austria,1. Kärntner Fischereimuseum,Seeboden am Millstätter See,Kärnten,Austria,46.813800,13.509300,"1. Kärntner Fischereimuseum, 1, Fischerweg, Seespitz, Seebach, Seeboden am Millstätter See, Bezirk Spittal an der Drau, Kärnten, 9871, Österreich",,See website,FALSE,,history,FALSE
the-culture-and-military-museum-grafenwoehr-grafenwohr-germany,The Culture- and Military Museum Grafenwoehr,Grafenwöhr,Bayern,Germany,49.720486,11.904113,"Kultur- und Militärmuseum, Martin-Posser-Straße, Grafenwöhr, Landkreis Neustadt an der Waldnaab, Bayern, 92655, Deutschland",https://www.museum-grafenwoehr.de,See website,FALSE,https://logo.clearbit.com/museum-grafenwoehr.de?size=512,history,FALSE
museum-of-tyrolean-farms-kramsach-austria,Museum of Tyrolean Farms,Kramsach,Tirol,Austria,47.463400,11.918800,"Moosen, Kramsach, Bezirk Kufstein, Tirol, 6233, Österreich",https://www.museum-tb.at/,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/http%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FSpecial%3AFilePath%2FHOEFEMUSEUMKRAMSACH%2520LOGO.jpg,history,FALSE
haus-ludwig-saarlouis-germany,Haus Ludwig,Saarlouis,Saarland,Germany,49.313600,6.748910,"Ehem. Museum Haus Ludwig, 2, Kaiser-Wilhelm-Straße, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",https://ludwig-galerie.saarlouis.de/,See website,FALSE,https://logo.clearbit.com/ludwig-galerie.saarlouis.de?size=512,history,FALSE
anne-frank-house-amsterdam-netherlands,Anne Frank House,Amsterdam,Noord-Holland,Netherlands,52.375147,4.884040,"267, Prinsengracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 GV, Nederland",http://www.annefrank.org/,See website,FALSE,https://commons.wikimedia.org/wiki/Special:FilePath/http%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FSpecial%3AFilePath%2FAnne%2520Frank%2520House%2520logo%2520SVG%2520replacement.svg,history,FALSE
chateau-ramezay-ville-marie-canada,château Ramezay,Ville-Marie,Québec,Canada,45.509028,-73.553333,"290, Rue Notre-Dame Est, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2Y 3B3, Canada",https://www.chateauramezay.qc.ca/en/,See website,FALSE,https://logo.clearbit.com/chateauramezay.qc.ca?size=512,history,FALSE
topkap-palace-istanbul-turkey,Topkapı Palace,Istanbul,İstanbul,Turkey,41.013000,28.984000,"Ağalar Camii, Mabeyn Taşlığı ve Dairesi, Cankurtaran Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye",https://www.millisaraylar.gov.tr/en/palaces/topkapi-palace,See website,FALSE,https://logo.clearbit.com/millisaraylar.gov.tr?size=512,history,FALSE
royal-palace-of-madrid-spain,Royal Palace of Madrid,Madrid,Comunidad de Madrid,Spain,40.417955,-3.714312,"Plaza de Oriente, Palacio, Centro, Madrid, Comunidad de Madrid, 28013, España",https://www.patrimonionacional.es/visita/palacio-real-de-madrid,See website,FALSE,https://logo.clearbit.com/patrimonionacional.es?size=512,history,FALSE
technopolis-city-of-athens-athens-municipality-greece,Technopolis City of Athens,Athens Municipality,Περιφέρεια Αττικής,Greece,37.978100,23.714100,"Αμφιθέατρο «Μιλτιάδης Έβερτ», 100, Πειραιώς, Γκάζι, Συνοικία Ρουφ, Πετράλωνα, 3η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 118 54, Ελλάς",https://www.athens-technopolis.gr/,See website,FALSE,https://logo.clearbit.com/athens-technopolis.gr?size=512,history,FALSE
